channel,firing_rate_hz
11,47.301576719223974
26,34.20114003800127
50,32.801093369779
42,25.700856695223177
44,25.000833361112036
37,22.800760025334178
35,18.800626687556253
36,17.40058001933398
25,14.300476682556086
34,14.200473349111638
27,12.600420014000468
60,12.100403346778226
51,12.000400013333778
58,10.900363345444848
53,9.900330011000367
21,8.100270009000301
13,7.900263342111404
1,7.60025334177806
43,7.100236674555819
8,6.900230007666923
19,6.800226674222475
45,6.7002233407780265
32,6.100203340111337
41,5.4001800060002
3,2.9000966698889963
9,2.800093336444548
20,2.7000900030001
48,2.7000900030001
49,2.500083336111204
29,2.2000733357778595
57,2.2000733357778595
4,1.7000566685556187
59,1.7000566685556187
30,1.6000533351111705
61,1.6000533351111705
33,1.400046668222274
47,1.400046668222274
10,1.2000400013333778
14,1.2000400013333778
38,1.2000400013333778
23,1.1000366678889297
17,1.0000333344444816
16,0.8000266675555853
5,0.700023334111137
28,0.700023334111137
46,0.700023334111137
55,0.700023334111137
22,0.6000200006666889
6,0.5000166672222408
7,0.5000166672222408
24,0.5000166672222408
63,0.5000166672222408
2,0.40001333377779263
12,0.40001333377779263
31,0.40001333377779263
40,0.40001333377779263
0,0.30001000033334446
54,0.30001000033334446
56,0.30001000033334446
15,0.20000666688889632
18,0.20000666688889632
39,0.20000666688889632
52,0.20000666688889632
62,0.10000333344444816
