channel,firing_rate_hz
11,25.127053460892895
42,17.719077540151563
50,16.317568582173475
26,15.416598537758988
37,11.312179446537439
35,11.212071663824718
34,9.710454923133907
44,9.610347140421187
25,8.108730399730376
36,6.507005876326845
1,6.406898093614124
43,6.406898093614124
41,4.604958004785153
51,4.604958004785153
53,4.204526873934269
19,3.403664612232504
27,3.303556829519783
21,2.9031256986689002
60,2.702910133243459
58,1.601724523403531
13,1.001077827127207
32,1.001077827127207
45,0.4004311308508828
8,0.3003233481381621
20,0.2002155654254414
33,0.2002155654254414
14,0.1001077827127207
17,0.1001077827127207
29,0.1001077827127207
30,0.1001077827127207
0,0
2,0
3,0
4,0
5,0
6,0
7,0
9,0
10,0
12,0
15,0
16,0
18,0
22,0
23,0
24,0
28,0
31,0
38,0
39,0
40,0
46,0
47,0
48,0
49,0
52,0
54,0
55,0
56,0
57,0
59,0
61,0
62,0
63,0
